PMID,Model,Type,Gold_Standard,Predicted,TP,FN,FP
25950425,NER,interventions,pregabalin | lidocaine | pregabalin | lidocaine | placebo | normal saline infusion | placebo | lidocaine | mg oral pregabalin and normal saline infusion | 150 & nbsp ; mg oral pregabalin and lidocaine | Preoperative oral pregabalin | intravenous | Preoperative oral pregabalin | intravenous | preoperative pregabalin | or without,oral pregabalin | perioperative intravenous lidocaine infusion | oral pregabalin | perioperative intravenous lidocaine infusion | placebo capsules and normal saline infusion perioperatively | placebo capsules and lidocaine 1 mg⁄kg intravenous bolus dose followed by 2 mg⁄kg⁄h infusion until skin closure | 150 mg oral pregabalin and normal saline infusion perioperatively | 150 & nbsp ; mg oral pregabalin and lidocaine 2 mg⁄kg⁄h infusion until skin closure | oral pregabalin | perioperative intravenous lidocaine infusion | pregabalin | intravenous lidocaine | pregabalin with or without lidocaine,8,2,1
25950425,LLM,outcomes,"postoperative morphine requirement | postoperative morphine requirement , adverse effects , patients ' satisfaction , mobilization , time to first defecation and time to discharge | skin closure . Hemodynamic parameters , visual analogue scale ( VAS ) scores , analgesic consumption , side effects , time to mobilization , time to first defecation , time to discharge and patients ' satisfaction | recorded . RESULTS VAS | ( P < 0.05 ) . Morphine consumption | ( P < 0.05 ) . Incidence | group PL . Time to first defecation and mobilization | decreased postoperative VAS | decreased morphine requirement | decreased the incidence | provides superior pain",,0,11,0
25950425,NER,outcomes,"postoperative morphine requirement | postoperative morphine requirement , adverse effects , patients ' satisfaction , mobilization , time to first defecation and time to discharge | skin closure . Hemodynamic parameters , visual analogue scale ( VAS ) scores , analgesic consumption , side effects , time to mobilization , time to first defecation , time to discharge and patients ' satisfaction | recorded . RESULTS VAS | ( P < 0.05 ) . Morphine consumption | ( P < 0.05 ) . Incidence | group PL . Time to first defecation and mobilization | decreased postoperative VAS | decreased morphine requirement | decreased the incidence | provides superior pain",morphine requirement | postoperative morphine requirement adverse effects patients ' satisfaction mobilization time to first defecation and time to discharge | hemodynamic parameters visual analogue scale ( vas ) scores analgesic consumption side effects time to mobilization time to first defecation time to discharge and patients ' satisfaction | vas scores | morphine consumption | of nausea | time to first defecation and mobilization | postoperative vas scores | motility | mobilization | nausea,6,5,5
24803369,LLM,participants,Youth with autism spectrum disorder | Individuals with autism spectrum disorder ( ASD ) | 13 participants with ASD ( age 7 ; 03-22 ; 03 ) and 13 age-matched typically developing ( TD ) controls | Individuals with ASD,,0,4,0
24803369,NER,participants,Youth with autism spectrum disorder | Individuals with autism spectrum disorder ( ASD ) | 13 participants with ASD ( age 7 ; 03-22 ; 03 ) and 13 age-matched typically developing ( TD ) controls | Individuals with ASD,youth with autism spectrum disorder | individuals with autism spectrum disorder ( asd | 13 participants with asd ( age 7 ; 03-22 ; 03 ) and 13 age-matched typically developing ( td ) controls | individuals with asd,4,0,0
24803369,LLM,interventions,lexicalized | primary conceptual metaphors . | metaphors . | conceptual metaphors | conceptual metaphors | metaphor,,0,5,0
24803369,NER,interventions,lexicalized | primary conceptual metaphors . | metaphors . | conceptual metaphors | conceptual metaphors | metaphor,lexicalized conceptual metaphors | e g | susan is a warm person | novel ones | sus | is | toasty,1,4,6
24803369,LLM,outcomes,comprehending metaphors . | conceptual metaphors | lexicalized conceptual metaphors | novel ones | metaphor,,0,5,0
24803369,NER,outcomes,comprehending metaphors . | conceptual metaphors | lexicalized conceptual metaphors | novel ones | metaphor,,0,5,0
18077611,LLM,participants,subjects > or =50 years of age . Subjects with a negative history for HZ | Enrollment was stratified 1:2 by age ( 50 to 59 years and > or =60 years ),,0,2,0
18077611,NER,participants,subjects > or =50 years of age . Subjects with a negative history for HZ | Enrollment was stratified 1:2 by age ( 50 to 59 years and > or =60 years ),individuals | of age | subjects > or =50 years of age . subjects with a negative history for hz | enrollment | stratified 1:2 by age ( 50 to 59 years and > or =60 years,2,0,3
18077611,LLM,interventions,Zostavax . | Zostavax | ( Zostavax | ( Zostavax | Zostavax,,0,3,0
18077611,NER,interventions,Zostavax . | Zostavax | ( Zostavax | ( Zostavax | Zostavax,refrig | zostavax | zostava | refrigerator-stable | zostavax refrigerated | zostavax frozen | refrig | refrig | stable formulation of zostavax,3,0,4
18077611,LLM,outcomes,safety | immunogenicity | safety | immunogenicity | Safety | Varicella-zoster virus ( VZV ) antibody responses | glycoprotein enzyme-linked immunosorbent assay ( gpELISA ) . | VZV antibody geometric mean titer ( GMT ; | VZV antibody geometric mean rise ( GMR ; | incidence of vaccine-related serious adverse experiences ( AEs ) | GMTs | gpELISA | GMT | GMRs | vaccine-related serious AEs | safety | injection-site AEs | systemic AEs | vaccine-related AEs | safety | immunogenic,,0,17,0
18077611,NER,outcomes,safety | immunogenicity | safety | immunogenicity | Safety | Varicella-zoster virus ( VZV ) antibody responses | glycoprotein enzyme-linked immunosorbent assay ( gpELISA ) . | VZV antibody geometric mean titer ( GMT ; | VZV antibody geometric mean rise ( GMR ; | incidence of vaccine-related serious adverse experiences ( AEs ) | GMTs | gpELISA | GMT | GMRs | vaccine-related serious AEs | safety | injection-site AEs | systemic AEs | vaccine-related AEs | safety | immunogenic,safety | immunogenicity | safety | antibody responses | vzv antibody geometric mean titer | gmt | vzv antibody geometric mean rise | gmr | incidence of vaccine-related serious adverse experiences ( aes | ts | t | related serious aes | injection-site aes | systemic aes,13,4,0
2803397,LLM,participants,"ear surgery | ear microsurgical operations . Simple mastoidectomies , radical mastoidectomies and tympano plastics were carried out in 49 patients",,0,2,0
2803397,NER,participants,"ear surgery | ear microsurgical operations . Simple mastoidectomies , radical mastoidectomies and tympano plastics were carried out in 49 patients",simple mastoidectomies radical mastoidectomies and tympano plastics | 49 patients | n = 14,1,1,2
2803397,LLM,interventions,halothane | lidocaine | ornipressin | fentanyl | lidocaine | ornipressin | fentanyl | lidocaine | epinephrine | prilocaine | epinephrine,,0,6,0
2803397,NER,interventions,halothane | lidocaine | ornipressin | fentanyl | lidocaine | ornipressin | fentanyl | lidocaine | epinephrine | prilocaine | epinephrine,halothane anaesthesia and retroauricular infiltration anaesthesia with lidocaine and ornipressin | fentanyl anaesthesia and retroauricular anaesthesia with lidocaine and ornipressin | fentanyl anaesthesia and retroauricular infiltration anaesthesia with lidocaine and epinephrine | retroauricular infiltration anaesthesia with prilocaine and epinephrine | general anaesthesia | retro | ular infiltration anaesthesia | general anaesthesia,4,2,3
2803397,LLM,outcomes,"[ The sympatho-adrenergic stress reaction | endocrine stress responses | plasma levels of epinephrine , norepinephrine , glucose , lactate and free glycerol | mean arterial pressure ( MAP ) and heart rate ( HR ) | Plasma catecholamine concentrations | Plasma catecholamines ( epinephrine and norepinephrine ) | MAP | HR . | plasma levels of epinephrine and norepinephrine | glucose , lactate and free glycerol .",,0,10,0
2803397,NER,outcomes,"[ The sympatho-adrenergic stress reaction | endocrine stress responses | plasma levels of epinephrine , norepinephrine , glucose , lactate and free glycerol | mean arterial pressure ( MAP ) and heart rate ( HR ) | Plasma catecholamine concentrations | Plasma catecholamines ( epinephrine and norepinephrine ) | MAP | HR . | plasma levels of epinephrine and norepinephrine | glucose , lactate and free glycerol .",plasma levels of epinephrine norepinephrine glucose lactate and free glycerol | mean arterial pressure ( map ) and heart rate ( hr | plasma catecholamine concentrations | plasma catecholamines ( epinephrine and norepinephrine | map and hr | epinephrine and norepinephrine | glucose lactate and free glycerol | plasma levels | epinephrine and norepinephrine,6,4,2
2908133,LLM,participants,anxiety : | 92 outpatients affected by generalized anxiety disorders | Seventy-eight patients completed the first period and 75 the whole study .,,0,3,0
2908133,NER,participants,anxiety : | 92 outpatients affected by generalized anxiety disorders | Seventy-eight patients completed the first period and 75 the whole study .,92 outpatients affected by generalized anxiety disorders for at least 1 month | seventy-eight patients completed the first period and 75 the whole study,2,1,0
2908133,LLM,interventions,ketazolam | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo,,0,2,0
2908133,NER,interventions,ketazolam | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo,ketazolam | placebo | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo | ketazolam | placebo,2,0,0
2908133,LLM,outcomes,total Hamilton Anxiety Rating Scale ( HAM-A ) | Anxiety | Italian HAM-A scale and with a 4-point scale ( patient 's assessment ) . | HAM-A score | 4-point scale | severe headache .,,0,6,0
2908133,NER,outcomes,total Hamilton Anxiety Rating Scale ( HAM-A ) | Anxiety | Italian HAM-A scale and with a 4-point scale ( patient 's assessment ) . | HAM-A score | 4-point scale | severe headache .,total hamilton anxiety rating scale | a | anxiety | ham-a scale | ham-a score | tolerability | severe headache,6,0,1
1963383,LLM,participants,small cell lung cancer ] | Eighty-three patients with small cell lung cancer | 74 patients | solid cancer patients,,0,4,0
1963383,NER,participants,small cell lung cancer ] | Eighty-three patients with small cell lung cancer | 74 patients | solid cancer patients,small cell lung cancer | eighty-three patients with small cell lung cancer | 74 patients were | analysis | solid cancer patients,4,0,1
1963383,LLM,interventions,liu wei di huang | jin gui shen qi | Kidney-tonifying decoction ( Liu Wei Di Huang | Jin Gui Shen Qi | Chinese herb | Kidney-tonifying decoction | Chinese herb | Chinese herb | Chinese Kidney-tonifying decoction,,0,7,0
1963383,NER,interventions,liu wei di huang | jin gui shen qi | Kidney-tonifying decoction ( Liu Wei Di Huang | Jin Gui Shen Qi | Chinese herb | Kidney-tonifying decoction | Chinese herb | Chinese herb | Chinese Kidney-tonifying decoction,liu wei di huang or jin gui shen qi decoction | traditional chinese kidney-tonifying decoction ( liu wei di huang or jin gui shen qi medicinal decoction | chemotherapy or radiotherapy | traditional chinese kidney-tonifying decoction | traditional chinese kidney-tonifying decoction,3,4,1
1963383,LLM,outcomes,response rate and the median survival | overall response rate | median survival | Survival curve ( Kaplan-meire 's ) | disease-free life | Hematologic toxicities | immuno-enhancement activities . | non-specific immunology activities,,0,8,0
1963383,NER,outcomes,response rate and the median survival | overall response rate | median survival | Survival curve ( Kaplan-meire 's ) | disease-free life | Hematologic toxicities | immuno-enhancement activities . | non-specific immunology activities,response rate | the median survival | overall response rate | cr pr | median survival | survival curve | disease-free life | hematologic toxicities | immuno | non | immunology activities,8,0,3
